"advertiser_id","advertiser_name","industry","campaigns","total_ad_spend","attributed_orders","attributed_revenue","roas"
"ADV014","Brand_14","Electronics",3,161.03,13,16270.01,101.04
"ADV013","Brand_13","Beauty",3,138.85,7,11341.92,81.68
"ADV011","Brand_11","Sports",1,36.48,3,2380.00,65.24
"ADV004","Brand_4","Fashion",1,84.15,4,5191.43,61.69
"ADV009","Brand_9","Electronics",2,123.01,5,6983.46,56.77
"ADV005","Brand_5","Electronics",6,409.39,18,21529.51,52.59
"ADV012","Brand_12","Electronics",2,129.10,4,3572.62,27.67
"ADV001","Brand_1","Fashion",5,337.57,10,7758.93,22.98
"ADV003","Brand_3","Fashion",3,136.93,11,1491.06,10.89
"ADV008","Brand_8","Beauty",2,138.37,7,1469.78,10.62
"ADV007","Brand_7","Sports",1,35.96,3,350.39,9.74
"ADV019","Brand_19","Electronics",3,116.70,6,908.77,7.79
"ADV015","Brand_15","Sports",2,109.06,5,510.26,4.68
"ADV017","Brand_17","Fashion",5,354.69,14,1475.69,4.16
"ADV010","Brand_10","Sports",2,40.11,3,163.74,4.08
"ADV002","Brand_2","Fashion",4,139.86,6,563.27,4.03
"ADV018","Brand_18","Beauty",1,40.32,1,143.89,3.57
"ADV016","Brand_16","Electronics",2,71.05,2,236.89,3.33
"ADV006","Brand_6","Fashion",2,92.92,4,265.30,2.86
