"campaign_id","advertiser_id","impressions","clicks","ctr_percent","ad_spend","attributed_orders","attributed_revenue","roas"
"CMP_023","ADV014",1027,49,4.77,12.25,10,14076.11,1149.07
"CMP_027","ADV013",1017,46,4.52,17.94,10,15901.31,886.36
"CMP_015","ADV005",1002,44,4.39,51.04,15,23199.93,454.54
"CMP_049","ADV011",975,57,5.85,36.48,17,14399.93,394.73
"CMP_029","ADV001",1027,61,5.94,32.33,16,12516.63,387.15
"CMP_011","ADV005",995,55,5.53,64.35,17,22507.76,349.77
"CMP_005","ADV009",1049,57,5.43,50.16,20,16272.92,324.42
"CMP_002","ADV013",1012,53,5.24,76.32,16,21280.83,278.84
"CMP_016","ADV005",1002,47,4.69,70.50,18,19019.89,269.79
"CMP_022","ADV009",1007,47,4.67,72.85,15,19106.11,262.27
"CMP_026","ADV013",1055,49,4.64,44.59,6,11671.28,261.75
"CMP_046","ADV005",999,51,5.11,41.31,8,9674.41,234.19
"CMP_021","ADV014",969,41,4.23,70.52,11,16163.88,229.21
"CMP_012","ADV005",1006,56,5.57,104.16,16,21470.44,206.13
"CMP_047","ADV014",960,43,4.48,78.26,13,14791.02,189.00
"CMP_040","ADV012",1000,43,4.30,53.75,11,9708.35,180.62
"CMP_028","ADV004",956,55,5.75,84.15,14,14280.15,169.70
"CMP_006","ADV003",935,48,5.13,9.60,10,1431.04,149.07
"CMP_007","ADV001",989,52,5.26,91.52,14,11305.49,123.53
"CMP_024","ADV001",983,51,5.19,89.76,10,10993.67,122.48
"CMP_041","ADV005",1039,51,4.91,78.03,5,9028.15,115.70
"CMP_038","ADV012",1047,55,5.25,75.35,12,8656.14,114.88
"CMP_003","ADV001",955,52,5.45,58.24,13,6268.74,107.64
"CMP_039","ADV001",991,62,6.26,65.72,10,6219.36,94.63
"CMP_008","ADV016",995,41,4.12,14.35,11,1163.64,81.09
"CMP_019","ADV019",945,43,4.55,18.92,11,1382.54,73.07
"CMP_025","ADV019",985,47,4.77,39.48,11,2189.60,55.46
"CMP_034","ADV007",1005,58,5.77,35.96,11,1862.96,51.81
"CMP_032","ADV002",1033,55,5.32,19.80,8,864.30,43.65
"CMP_042","ADV017",983,41,4.17,49.20,12,2002.51,40.70
"CMP_014","ADV003",950,49,5.16,76.93,20,2950.19,38.35
"CMP_004","ADV002",938,45,4.80,21.60,8,734.04,33.98
"CMP_044","ADV015",1031,49,4.75,59.78,15,1992.99,33.34
"CMP_017","ADV010",974,46,4.72,14.26,12,471.01,33.03
"CMP_050","ADV019",977,53,5.42,58.30,13,1905.06,32.68
"CMP_001","ADV017",1020,63,6.18,67.41,18,2188.28,32.46
"CMP_035","ADV002",944,54,5.72,44.28,12,1376.42,31.08
"CMP_020","ADV017",1013,43,4.24,61.92,14,1910.58,30.86
"CMP_031","ADV008",1021,47,4.60,80.37,11,2462.99,30.65
"CMP_033","ADV008",1055,50,4.74,58.00,8,1614.20,27.83
"CMP_030","ADV017",1064,60,5.64,73.20,14,1821.59,24.89
"CMP_048","ADV002",1016,42,4.13,54.18,11,1287.35,23.76
"CMP_036","ADV003",1006,48,4.77,50.40,10,1074.52,21.32
"CMP_045","ADV015",1029,56,5.44,49.28,9,986.18,20.01
"CMP_013","ADV006",991,52,5.25,32.76,8,570.32,17.41
"CMP_037","ADV018",998,48,4.81,40.32,7,623.47,15.46
"CMP_010","ADV017",1020,52,5.10,102.96,15,1583.60,15.38
"CMP_043","ADV016",1002,45,4.49,56.70,9,737.55,13.01
"CMP_018","ADV010",984,55,5.59,25.85,8,289.85,11.21
"CMP_009","ADV006",1024,47,4.59,60.16,7,657.74,10.93
