event_id,customer_id,campaign_id,advertiser_id,product_id,position,clicked,event_time
EVT_008726,CUST_00605,CMP_026,ADV013,PRDT_115,7,0,2026-06-01 00:00:00
EVT_011290,CUST_02215,CMP_026,ADV013,PRDT_063,5,0,2026-06-01 00:05:00
EVT_009506,CUST_02566,CMP_010,ADV017,PRDT_150,9,0,2026-06-01 00:06:00
EVT_040575,CUST_04936,CMP_041,ADV005,PRDT_113,6,0,2026-06-01 00:08:00
EVT_000159,CUST_03550,CMP_030,ADV017,PRDT_156,10,0,2026-06-01 00:08:00
EVT_012707,CUST_01007,CMP_020,ADV017,PRDT_036,2,0,2026-06-01 00:09:00
EVT_018799,CUST_02629,CMP_028,ADV004,PRDT_023,5,0,2026-06-01 00:12:00
EVT_013495,CUST_02454,CMP_038,ADV012,PRDT_068,7,0,2026-06-01 00:13:00
EVT_007593,CUST_03826,CMP_045,ADV015,PRDT_062,7,0,2026-06-01 00:13:00
EVT_038635,CUST_02346,CMP_048,ADV002,PRDT_001,1,1,2026-06-01 00:16:00
EVT_002026,CUST_03139,CMP_036,ADV003,PRDT_089,6,0,2026-06-01 00:17:00
EVT_022381,CUST_01190,CMP_010,ADV017,PRDT_159,3,0,2026-06-01 00:19:00
EVT_014359,CUST_04506,CMP_040,ADV012,PRDT_084,2,0,2026-06-01 00:19:00
EVT_013806,CUST_03037,CMP_049,ADV011,PRDT_178,6,0,2026-06-01 00:19:00
EVT_018547,CUST_00889,CMP_016,ADV005,PRDT_088,3,0,2026-06-01 00:25:00
EVT_040365,CUST_04961,CMP_037,ADV018,PRDT_022,5,0,2026-06-01 00:31:00
EVT_013785,CUST_03324,CMP_038,ADV012,PRDT_006,2,0,2026-06-01 00:33:00
EVT_010942,CUST_01921,CMP_015,ADV005,PRDT_017,7,0,2026-06-01 00:34:00
EVT_031609,CUST_03795,CMP_020,ADV017,PRDT_008,9,0,2026-06-01 00:34:00
EVT_020485,CUST_04339,CMP_049,ADV011,PRDT_070,9,0,2026-06-01 00:35:00
EVT_021971,CUST_03720,CMP_013,ADV006,PRDT_003,6,0,2026-06-01 00:36:00
EVT_047222,CUST_00008,CMP_037,ADV018,PRDT_058,5,0,2026-06-01 00:37:00
EVT_039462,CUST_00569,CMP_006,ADV003,PRDT_189,5,0,2026-06-01 00:38:00
EVT_034880,CUST_00247,CMP_034,ADV007,PRDT_130,6,0,2026-06-01 00:41:00
EVT_001415,CUST_00599,CMP_025,ADV019,PRDT_071,6,0,2026-06-01 00:42:00
EVT_027473,CUST_04451,CMP_037,ADV018,PRDT_022,1,1,2026-06-01 00:53:00
EVT_017312,CUST_02311,CMP_032,ADV002,PRDT_162,7,0,2026-06-01 00:55:00
EVT_005198,CUST_04903,CMP_047,ADV014,PRDT_024,6,0,2026-06-01 00:57:00
EVT_005246,CUST_03612,CMP_013,ADV006,PRDT_138,8,0,2026-06-01 00:59:00
EVT_031509,CUST_00377,CMP_001,ADV017,PRDT_072,10,0,2026-06-01 00:59:00
EVT_017646,CUST_02777,CMP_049,ADV011,PRDT_129,4,0,2026-06-01 01:00:00
EVT_042573,CUST_00171,CMP_029,ADV001,PRDT_132,7,0,2026-06-01 01:01:00
EVT_047322,CUST_00798,CMP_045,ADV015,PRDT_029,5,0,2026-06-01 01:06:00
EVT_016242,CUST_00080,CMP_035,ADV002,PRDT_041,6,0,2026-06-01 01:07:00
EVT_031556,CUST_04493,CMP_036,ADV003,PRDT_155,4,0,2026-06-01 01:09:00
EVT_019094,CUST_01819,CMP_043,ADV016,PRDT_179,3,0,2026-06-01 01:10:00
EVT_009766,CUST_00603,CMP_008,ADV016,PRDT_184,7,0,2026-06-01 01:14:00
EVT_043920,CUST_02814,CMP_025,ADV019,PRDT_071,6,1,2026-06-01 01:14:00
EVT_047418,CUST_04652,CMP_019,ADV019,PRDT_108,6,0,2026-06-01 01:19:00
EVT_027477,CUST_00279,CMP_009,ADV006,PRDT_169,3,0,2026-06-01 01:20:00
EVT_033194,CUST_01446,CMP_028,ADV004,PRDT_044,1,1,2026-06-01 01:20:00
EVT_041758,CUST_02052,CMP_031,ADV008,PRDT_073,2,0,2026-06-01 01:22:00
EVT_041308,CUST_02038,CMP_034,ADV007,PRDT_130,6,0,2026-06-01 01:30:00
EVT_023707,CUST_04465,CMP_002,ADV013,PRDT_063,7,0,2026-06-01 01:30:00
EVT_024128,CUST_04920,CMP_047,ADV014,PRDT_035,8,0,2026-06-01 01:30:00
EVT_011248,CUST_03441,CMP_020,ADV017,PRDT_158,8,0,2026-06-01 01:31:00
