advertiser_id,advertiser_name,industry
ADV001,Brand_1,Fashion
ADV002,Brand_2,Fashion
ADV003,Brand_3,Fashion
ADV004,Brand_4,Fashion
ADV005,Brand_5,Electronics
ADV006,Brand_6,Fashion
ADV007,Brand_7,Sports
ADV008,Brand_8,Beauty
ADV009,Brand_9,Electronics
ADV010,Brand_10,Sports
ADV011,Brand_11,Sports
ADV012,Brand_12,Electronics
ADV013,Brand_13,Beauty
ADV014,Brand_14,Electronics
ADV015,Brand_15,Sports
ADV016,Brand_16,Electronics
ADV017,Brand_17,Fashion
ADV018,Brand_18,Beauty
ADV019,Brand_19,Electronics
ADV020,Brand_20,Sports
