campaign_id,advertiser_id,daily_budget,bid
CMP_001,ADV017,912.84,1.07
CMP_002,ADV013,655.54,1.44
CMP_003,ADV001,982.42,1.12
CMP_004,ADV002,647.28,0.48
CMP_005,ADV009,672.98,0.88
CMP_006,ADV003,599.33,0.2
CMP_007,ADV001,181.9,1.76
CMP_008,ADV016,753.76,0.35
CMP_009,ADV006,592.7,1.28
CMP_010,ADV017,505.82,1.98
CMP_011,ADV005,919.42,1.17
CMP_012,ADV005,368.16,1.86
CMP_013,ADV006,571.24,0.63
CMP_014,ADV003,727.88,1.57
CMP_015,ADV005,816.82,1.16
CMP_016,ADV005,513.41,1.5
CMP_017,ADV010,857.88,0.31
CMP_018,ADV010,792.03,0.47
CMP_019,ADV019,159.61,0.44
CMP_020,ADV017,141.28,1.44
CMP_021,ADV014,658.73,1.72
CMP_022,ADV009,412.67,1.55
CMP_023,ADV014,288.22,0.25
CMP_024,ADV001,621.68,1.76
CMP_025,ADV019,407.41,0.84
CMP_026,ADV013,583.54,0.91
CMP_027,ADV013,514.11,0.39
CMP_028,ADV004,626.29,1.53
CMP_029,ADV001,460.27,0.53
CMP_030,ADV017,727.9,1.22
CMP_031,ADV008,262.06,1.71
CMP_032,ADV002,726.85,0.36
CMP_033,ADV008,470.5,1.16
CMP_034,ADV007,886.89,0.62
CMP_035,ADV002,563.71,0.82
CMP_036,ADV003,975.8,1.05
CMP_037,ADV018,641.74,0.84
CMP_038,ADV012,301.46,1.37
CMP_039,ADV001,839.61,1.06
CMP_040,ADV012,410.57,1.25
CMP_041,ADV005,412.86,1.53
CMP_042,ADV017,128.62,1.2
CMP_043,ADV016,593.84,1.26
CMP_044,ADV015,580.98,1.22
CMP_045,ADV015,420.39,0.88
CMP_046,ADV005,904.8,0.81
CMP_047,ADV014,215.87,1.82
CMP_048,ADV002,397.09,1.29
CMP_049,ADV011,389.42,0.64
CMP_050,ADV019,183.06,1.1
