customer_id,country,device,customer_type
CUST_00001,Germany,Mobile,New
CUST_00002,Ghana,Tablet,Returning
CUST_00003,Ghana,Tablet,New
CUST_00004,Germany,Mobile,Returning
CUST_00005,Germany,Tablet,Returning
CUST_00006,UK,Mobile,New
CUST_00007,Nigeria,Tablet,Returning
CUST_00008,Ghana,Tablet,New
CUST_00009,Nigeria,Desktop,Returning
CUST_00010,Nigeria,Tablet,New
CUST_00011,Germany,Desktop,Returning
CUST_00012,UK,Tablet,Returning
CUST_00013,Kenya,Mobile,New
CUST_00014,UK,Mobile,Returning
CUST_00015,UK,Tablet,New
CUST_00016,Nigeria,Tablet,Returning
CUST_00017,UK,Mobile,Returning
CUST_00018,Ghana,Tablet,New
CUST_00019,Nigeria,Desktop,Returning
CUST_00020,Ghana,Desktop,Returning
CUST_00021,Kenya,Desktop,New
CUST_00022,Nigeria,Desktop,Returning
CUST_00023,Kenya,Desktop,New
CUST_00024,Nigeria,Tablet,New
CUST_00025,Germany,Tablet,New
CUST_00026,UK,Desktop,Returning
CUST_00027,Germany,Tablet,Returning
CUST_00028,Kenya,Tablet,New
CUST_00029,UK,Desktop,Returning
CUST_00030,Nigeria,Tablet,New
CUST_00031,UK,Tablet,Returning
CUST_00032,Ghana,Tablet,New
CUST_00033,UK,Desktop,New
CUST_00034,Ghana,Tablet,Returning
CUST_00035,UK,Mobile,New
CUST_00036,Ghana,Mobile,New
CUST_00037,Kenya,Desktop,Returning
CUST_00038,Germany,Mobile,New
CUST_00039,Nigeria,Desktop,New
CUST_00040,UK,Mobile,Returning
CUST_00041,Germany,Mobile,New
CUST_00042,Nigeria,Mobile,New
CUST_00043,Nigeria,Desktop,New
CUST_00044,Ghana,Desktop,New
CUST_00045,Kenya,Tablet,New
CUST_00046,Kenya,Desktop,New
CUST_00047,Germany,Mobile,New
CUST_00048,Kenya,Mobile,New
CUST_00049,UK,Desktop,Returning
CUST_00050,Kenya,Desktop,New
CUST_00051,Germany,Desktop,New
CUST_00052,Kenya,Tablet,Returning
CUST_00053,UK,Mobile,New
CUST_00054,Ghana,Tablet,New
CUST_00055,Germany,Tablet,New
CUST_00056,Ghana,Mobile,New
CUST_00057,Ghana,Mobile,New
CUST_00058,Ghana,Desktop,New
